Cluster,Neighborhood,Zip
Cluster 1,Kalorama Heights,20009
Cluster 1,Adams Morgan,20009
Cluster 1,Lanier Heights,20009
Cluster 10,Hawthorne,20015
Cluster 10,Barnaby Woods,20015
Cluster 10,Chevy Chase,20015
Cluster 11,Friendship Heights,20016
Cluster 11,American University Park,20016
Cluster 11,Tenleytown,20016
Cluster 12,North Cleveland Park,20008
Cluster 12,Forest Hills,20008
Cluster 12,Van Ness,20008
Cluster 13,Spring Valley,20016
Cluster 13,Palisades,20016
Cluster 13,Wesley Heights,20016
Cluster 13,Foxhall Crescent,20016
Cluster 13,Foxhall Village,20016
Cluster 13,Georgetown Reservoir,20016
Cluster 14,Cathedral Heights,20016
Cluster 14,McLean Gardens,20016
Cluster 14,Glover Park,20016
Cluster 15,Cleveland Park,20008
Cluster 15,Woodley Park,20008
Cluster 15,Massachusetts Avenue Heights,20008
Cluster 15,Woodland-Normanstone Terrace,20008
Cluster 16,Colonial Village,20012
Cluster 16,Shepherd Park,20012
Cluster 16,North Portal Estates,20012
Cluster 17,Takoma,20011
Cluster 17,Brightwood,20011
Cluster 17,Manor Park,20011
Cluster 18,Brightwood Park,20011
Cluster 18,Crestwood,20011
Cluster 18,Petworth,20011
Cluster 19,Lamont Riggs,20011
Cluster 19,Queens Chapel,20011
Cluster 19,Fort Totten,20011
Cluster 19,Pleasant Hill,20011
Cluster 2,Columbia Heights,20010
Cluster 2,Mt. Pleasant,20010
Cluster 2,Pleasant Plains,20010
Cluster 2,Park View,20010
Cluster 20,North Michigan Park,20017
Cluster 20,Michigan Park,20017
Cluster 20,University Heights,20017
Cluster 21,Edgewood,20002
Cluster 21,Bloomingdale,20002
Cluster 21,Truxton Circle,20002
Cluster 21,Eckington,20002
Cluster 22,Brookland,20018
Cluster 22,Brentwood,20018
Cluster 22,Langdon,20018
Cluster 23,Ivy City,20002
Cluster 23,Arboretum,20002
Cluster 23,Trinidad,20002
Cluster 23,Carver Langston,20002
Cluster 24,Woodridge,20018
Cluster 24,Fort Lincoln,20018
Cluster 24,Gateway,20018
Cluster 25,Union Station,20002
Cluster 25,Stanton Park,20002
Cluster 25,Kingman Park,20002
Cluster 26,Capitol Hill,20003
Cluster 26,Lincoln Park,20003
Cluster 27,Near Southeast,20003
Cluster 27,Navy Yard,20003
Cluster 28,Historic Anacostia,20020
Cluster 29,Eastland Gardens,20019
Cluster 29,Kenilworth,20019
Cluster 3,Howard University,20001
Cluster 3,Le Droit Park,20001
Cluster 3,Cardozo/Shaw,20001
Cluster 30,Mayfair,20019
Cluster 30,Hillbrook,20019
Cluster 30,Mahaning Heights,20019
Cluster 31,Deanwood,20019
Cluster 31,Burrville,20019
Cluster 31,Grant Park,20019
Cluster 31,Lincoln Heights,20019
Cluster 31,Fairmont Heights,20019
Cluster 32,River Terrace,20019
Cluster 32,Benning,20019
Cluster 32,Greenway,20019
Cluster 32,Dupont Park,20019
Cluster 33,Capitol View,20019
Cluster 33,Marshall Heights,20019
Cluster 33,Benning Heights,20019
Cluster 34,Twining,20020
Cluster 34,Fairlawn,20020
Cluster 34,Randle Highlands,20020
Cluster 34,Penn Branch,20020
Cluster 34,Fort Davis Park,20020
Cluster 34,Fort Dupont,20020
Cluster 35,Fairfax Village,20020
Cluster 35,Naylor Gardens,20020
Cluster 35,Hillcrest,20020
Cluster 35,Summit Park,20020
Cluster 36,Woodland/Fort Stanton,20020
Cluster 36,Garfield Heights,20020
Cluster 36,Knox Hill,20020
Cluster 37,Sheridan,20020
Cluster 37,Barry Farm,20020
Cluster 37,Buena Vista,20020
Cluster 38,Douglas,20020
Cluster 38,Shipley Terrace,20020
Cluster 39,Congress Heights,20032
Cluster 39,Bellevue,20032
Cluster 39,Washington Highlands,20032
Cluster 4,Georgetown,20007
Cluster 4,Burleith/Hillandale,20007
Cluster 40,Walter Reed,20012
Cluster 41,Rock Creek Park,20015
Cluster 42,Observatory Circle,20392
Cluster 43,Saint Elizabeths,20032
Cluster 44,Joint Base Anacostia-Bolling,20032
Cluster 45,National Mall,20004
Cluster 45,Potomac River,20004
Cluster 46,Arboretum,20002
Cluster 46,Anacostia River,20002
Cluster 5,West End,20037
Cluster 5,Foggy Bottom,20037
Cluster 5,GWU,20037
Cluster 6,Dupont Circle,20036
Cluster 6,Connecticut Avenue/K Street,20036
Cluster 7,Shaw,20001
Cluster 7,Logan Circle,20001
Cluster 8,Downtown,20001
Cluster 8,Chinatown,20001
Cluster 8,Penn Quarters,20001
Cluster 8,Mount Vernon Square,20001
Cluster 8,North Capitol Street,20001
Cluster 9,Southwest Employment Area,20024
Cluster 9,Southwest/Waterfront,20024
Cluster 9,Fort McNair,20024
Cluster 9,Buzzard Point,20024
