,OFFENSE,Name,YEAR,TotalNeighborhoodCrime
0,THEFT/OTHER,NoMa,2019,441
1,THEFT F/AUTO,Shaw,2019,1837
2,THEFT F/AUTO,Adams Morgan,2019,635
3,THEFT F/AUTO,Shaw,2019,1837
4,THEFT F/AUTO,Adams Morgan,2019,635
5,THEFT/OTHER,Columbia Heights,2019,1892
6,MOTOR VEHICLE THEFT,Adams Morgan,2019,635
7,THEFT/OTHER,Dupont Circle,2019,1134
8,BURGLARY,Petworth,2019,501
9,THEFT F/AUTO,Dupont Circle,2019,1134
10,THEFT/OTHER,Columbia Heights,2019,1892
11,THEFT/OTHER,Petworth,2019,501
12,THEFT F/AUTO,Adams Morgan,2019,635
13,THEFT F/AUTO,Sixteenth Street Heights,2019,813
14,THEFT/OTHER,NoMa,2019,441
15,THEFT/OTHER,Columbia Heights,2019,1892
16,MOTOR VEHICLE THEFT,Capitol Hill,2019,1598
17,THEFT/OTHER,Capitol Hill,2019,1598
18,MOTOR VEHICLE THEFT,Petworth,2019,501
19,THEFT/OTHER,Columbia Heights,2019,1892
20,THEFT F/AUTO,Dupont Circle,2019,1134
21,THEFT F/AUTO,Capitol Hill,2019,1598
22,THEFT F/AUTO,Shaw,2019,1837
23,THEFT/OTHER,Dupont Circle,2019,1134
24,THEFT F/AUTO,Sixteenth Street Heights,2019,813
25,ROBBERY,Capitol Hill,2019,1598
26,BURGLARY,Dupont Circle,2019,1134
27,THEFT F/AUTO,Shaw,2019,1837
28,THEFT F/AUTO,Capitol Hill,2019,1598
29,BURGLARY,Columbia Heights,2019,1892
30,THEFT/OTHER,Sixteenth Street Heights,2019,813
31,THEFT F/AUTO,Columbia Heights,2019,1892
32,THEFT F/AUTO,Anacostia,2019,248
33,THEFT F/AUTO,Capitol Hill,2019,1598
34,THEFT/OTHER,Columbia Heights,2019,1892
35,THEFT/OTHER,Shaw,2019,1837
36,THEFT/OTHER,Dupont Circle,2019,1134
37,THEFT F/AUTO,Shaw,2019,1837
38,BURGLARY,Capitol Hill,2019,1598
39,ROBBERY,Adams Morgan,2019,635
40,THEFT F/AUTO,Capitol Hill,2019,1598
41,THEFT/OTHER,Shaw,2019,1837
42,THEFT/OTHER,Capitol Hill,2019,1598
43,THEFT/OTHER,Anacostia,2019,248
44,ROBBERY,Capitol Hill,2019,1598
45,THEFT/OTHER,Columbia Heights,2019,1892
46,THEFT/OTHER,Columbia Heights,2019,1892
47,THEFT/OTHER,Shaw,2019,1837
48,BURGLARY,Dupont Circle,2019,1134
49,THEFT F/AUTO,Columbia Heights,2019,1892
50,THEFT/OTHER,Capitol Hill,2019,1598
51,THEFT/OTHER,Dupont Circle,2019,1134
52,THEFT F/AUTO,Dupont Circle,2019,1134
53,ASSAULT W/DANGEROUS WEAPON,Columbia Heights,2019,1892
54,THEFT/OTHER,Capitol Hill,2019,1598
55,THEFT/OTHER,Columbia Heights,2019,1892
56,THEFT F/AUTO,U Street Corridor,2019,288
57,THEFT F/AUTO,Capitol Hill,2019,1598
