,OFFENSE,NEIGHBORHOOD_CLUSTER,NBH_NAMES,COUNT,YEAR,TotalOffenseCount
0,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
1,MOTOR VEHICLE THEFT,Cluster 18,Petworth,1,2021,1524
2,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
3,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
4,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
5,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
6,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
7,ROBBERY,Cluster 1,Adams Morgan,1,2021,775
8,ROBBERY,Cluster 25,Union Station,1,2021,775
9,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
11,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
12,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
13,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
14,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
15,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
16,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
17,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
18,THEFT F/AUTO,Cluster 27,Navy Yard,1,2021,3744
19,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
20,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
21,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
22,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
23,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
24,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
25,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
26,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
27,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
28,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
29,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
30,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
31,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
