RegionName,State,City,EndMonth,MedianHomeValue
Columbia Heights,DC,Washington,2019-01-31,599525.9392670792
Capitol Hill,DC,Washington,2019-01-31,819029.5454
Petworth,DC,Washington,2019-01-31,593648.7935787482
Adams Morgan,DC,Washington,2019-01-31,548296.6293997538
Shaw,DC,Washington,2019-01-31,757805.2907345416
Navy Yard,DC,Washington,2019-01-31,808163.2500276361
Anacostia,DC,Washington,2019-01-31,328340.5816907943
Columbia Heights,DC,Washington,2019-02-28,599770.9515
Capitol Hill,DC,Washington,2019-02-28,821671.3273303973
Petworth,DC,Washington,2019-02-28,593875.5772460393
Adams Morgan,DC,Washington,2019-02-28,547969.1836
Shaw,DC,Washington,2019-02-28,756654.6230793392
Navy Yard,DC,Washington,2019-02-28,793219.6771505773
Anacostia,DC,Washington,2019-02-28,330230.30579971476
Columbia Heights,DC,Washington,2019-03-31,601623.4125554034
Capitol Hill,DC,Washington,2019-03-31,826664.4552861525
Petworth,DC,Washington,2019-03-31,597656.0330509576
Adams Morgan,DC,Washington,2019-03-31,547475.6796389351
Shaw,DC,Washington,2019-03-31,757762.9742289981
Navy Yard,DC,Washington,2019-03-31,779707.7422307562
Anacostia,DC,Washington,2019-03-31,332862.3906
Columbia Heights,DC,Washington,2019-04-30,603960.8483143008
Capitol Hill,DC,Washington,2019-04-30,830711.3462679136
Petworth,DC,Washington,2019-04-30,602309.5494569098
Adams Morgan,DC,Washington,2019-04-30,547781.6101778046
Shaw,DC,Washington,2019-04-30,760415.5168
Navy Yard,DC,Washington,2019-04-30,771826.4115281189
Anacostia,DC,Washington,2019-04-30,336980.5729896285
Columbia Heights,DC,Washington,2019-05-31,605562.1344892954
Capitol Hill,DC,Washington,2019-05-31,832827.9514500251
Petworth,DC,Washington,2019-05-31,605432.6454776556
Adams Morgan,DC,Washington,2019-05-31,548881.5255607138
Shaw,DC,Washington,2019-05-31,762531.2478271398
Navy Yard,DC,Washington,2019-05-31,770045.9570583086
Anacostia,DC,Washington,2019-05-31,339914.69967023615
Columbia Heights,DC,Washington,2019-06-30,605157.2929791491
Capitol Hill,DC,Washington,2019-06-30,832291.9530796079
Petworth,DC,Washington,2019-06-30,606424.6083312263
Adams Morgan,DC,Washington,2019-06-30,549829.1938876272
Shaw,DC,Washington,2019-06-30,761762.1311205224
Navy Yard,DC,Washington,2019-06-30,767325.2126840027
Anacostia,DC,Washington,2019-06-30,340861.1436272664
Columbia Heights,DC,Washington,2019-07-31,603946.0744400722
Capitol Hill,DC,Washington,2019-07-31,831195.5217592133
Petworth,DC,Washington,2019-07-31,606869.2035
Adams Morgan,DC,Washington,2019-07-31,550565.7424246628
Shaw,DC,Washington,2019-07-31,760126.7805154758
Navy Yard,DC,Washington,2019-07-31,767559.7916238193
Anacostia,DC,Washington,2019-07-31,341253.30760557106
Columbia Heights,DC,Washington,2019-08-31,602838.7378263294
Capitol Hill,DC,Washington,2019-08-31,830874.0915898377
Petworth,DC,Washington,2019-08-31,607729.4879237694
Adams Morgan,DC,Washington,2019-08-31,550699.3919049663
Shaw,DC,Washington,2019-08-31,758629.5987820778
Navy Yard,DC,Washington,2019-08-31,767544.9408246732
Anacostia,DC,Washington,2019-08-31,341892.53111331555
Columbia Heights,DC,Washington,2019-09-30,602020.5892047257
Capitol Hill,DC,Washington,2019-09-30,830638.3188995174
Petworth,DC,Washington,2019-09-30,609106.2563
Adams Morgan,DC,Washington,2019-09-30,550072.0752
Shaw,DC,Washington,2019-09-30,757440.8193512416
Navy Yard,DC,Washington,2019-09-30,766939.5200992236
Anacostia,DC,Washington,2019-09-30,343423.6564028745
Columbia Heights,DC,Washington,2019-10-31,602212.8545
Capitol Hill,DC,Washington,2019-10-31,830928.9327868186
Petworth,DC,Washington,2019-10-31,610447.1536223232
Adams Morgan,DC,Washington,2019-10-31,549368.0298598633
Shaw,DC,Washington,2019-10-31,756384.9461364312
Navy Yard,DC,Washington,2019-10-31,765782.3236728329
Anacostia,DC,Washington,2019-10-31,345274.61367937224
