,RegionName,State,City,EndMonth,MedianHomeValue
0,Columbia Heights,DC,Washington,2021-01-31,639660.6151238028
1,Capitol Hill,DC,Washington,2021-01-31,891102.1662314894
2,Petworth,DC,Washington,2021-01-31,670398.5467825619
3,Adams Morgan,DC,Washington,2021-01-31,571299.6847288013
11,Shaw,DC,Washington,2021-01-31,795238.7781648935
22,Navy Yard,DC,Washington,2021-01-31,745144.7916555209
42,Anacostia,DC,Washington,2021-01-31,404091.4653647873
118,Columbia Heights,DC,Washington,2021-02-28,641210.3118
119,Capitol Hill,DC,Washington,2021-02-28,893382.618
120,Petworth,DC,Washington,2021-02-28,675505.3752747807
121,Adams Morgan,DC,Washington,2021-02-28,570500.4701109777
129,Shaw,DC,Washington,2021-02-28,794749.8346018633
140,Navy Yard,DC,Washington,2021-02-28,743866.0496
160,Anacostia,DC,Washington,2021-02-28,409236.8570915155
236,Columbia Heights,DC,Washington,2021-03-31,644256.1645146514
237,Capitol Hill,DC,Washington,2021-03-31,898534.0481672398
238,Petworth,DC,Washington,2021-03-31,682146.0858701019
239,Adams Morgan,DC,Washington,2021-03-31,570750.1993408477
247,Shaw,DC,Washington,2021-03-31,795676.728
258,Navy Yard,DC,Washington,2021-03-31,741664.0982895959
278,Anacostia,DC,Washington,2021-03-31,414487.8491552782
354,Columbia Heights,DC,Washington,2021-04-30,648350.0173093461
355,Capitol Hill,DC,Washington,2021-04-30,906901.2615692832
356,Petworth,DC,Washington,2021-04-30,690142.9861234049
357,Adams Morgan,DC,Washington,2021-04-30,572216.8383951989
365,Shaw,DC,Washington,2021-04-30,800125.4330775625
376,Navy Yard,DC,Washington,2021-04-30,742399.8621351457
396,Anacostia,DC,Washington,2021-04-30,419366.5660798535
472,Columbia Heights,DC,Washington,2021-05-31,652880.4159321153
473,Capitol Hill,DC,Washington,2021-05-31,917504.342533044
474,Petworth,DC,Washington,2021-05-31,699086.8811261867
475,Adams Morgan,DC,Washington,2021-05-31,575017.7318300096
483,Shaw,DC,Washington,2021-05-31,806719.1721
494,Navy Yard,DC,Washington,2021-05-31,745455.7991965576
514,Anacostia,DC,Washington,2021-05-31,423771.94587089494
590,Columbia Heights,DC,Washington,2021-06-30,656611.3276854065
591,Capitol Hill,DC,Washington,2021-06-30,928776.5091
592,Petworth,DC,Washington,2021-06-30,708372.8701213357
593,Adams Morgan,DC,Washington,2021-06-30,577699.3570147437
601,Shaw,DC,Washington,2021-06-30,813478.4088832127
612,Navy Yard,DC,Washington,2021-06-30,749897.9575496279
632,Anacostia,DC,Washington,2021-06-30,426469.9728913335
708,Columbia Heights,DC,Washington,2021-07-31,658421.2241924292
709,Capitol Hill,DC,Washington,2021-07-31,936975.9496804236
710,Petworth,DC,Washington,2021-07-31,713617.2782485038
711,Adams Morgan,DC,Washington,2021-07-31,580248.8739661679
719,Shaw,DC,Washington,2021-07-31,818856.5352725022
730,Navy Yard,DC,Washington,2021-07-31,749628.86
750,Anacostia,DC,Washington,2021-07-31,427168.8012784587
826,Columbia Heights,DC,Washington,2021-08-31,657176.7421504583
827,Capitol Hill,DC,Washington,2021-08-31,939973.5766401952
828,Petworth,DC,Washington,2021-08-31,714272.0850300286
829,Adams Morgan,DC,Washington,2021-08-31,581973.6320789853
837,Shaw,DC,Washington,2021-08-31,821185.2515532998
848,Navy Yard,DC,Washington,2021-08-31,747112.4479303611
868,Anacostia,DC,Washington,2021-08-31,425619.6322911734
944,Columbia Heights,DC,Washington,2021-09-30,654443.18
945,Capitol Hill,DC,Washington,2021-09-30,938572.8322738396
946,Petworth,DC,Washington,2021-09-30,710338.0516556959
947,Adams Morgan,DC,Washington,2021-09-30,582478.9189626575
955,Shaw,DC,Washington,2021-09-30,822114.2722405577
966,Navy Yard,DC,Washington,2021-09-30,744744.0355838671
986,Anacostia,DC,Washington,2021-09-30,423019.4699140966
1062,Columbia Heights,DC,Washington,2021-10-31,653157.7164881405
1063,Capitol Hill,DC,Washington,2021-10-31,937391.7547058542
1064,Petworth,DC,Washington,2021-10-31,706925.2583116043
1065,Adams Morgan,DC,Washington,2021-10-31,583772.1085297652
1073,Shaw,DC,Washington,2021-10-31,823924.3913855302
1084,Navy Yard,DC,Washington,2021-10-31,748462.1257641442
1104,Anacostia,DC,Washington,2021-10-31,420527.90670442674
1180,Columbia Heights,DC,Washington,2021-11-30,653855.9053989951
1181,Capitol Hill,DC,Washington,2021-11-30,936761.83908239
1182,Petworth,DC,Washington,2021-11-30,703274.9419024367
1183,Adams Morgan,DC,Washington,2021-11-30,586511.9806738716
1191,Shaw,DC,Washington,2021-11-30,828426.6387433149
1202,Navy Yard,DC,Washington,2021-11-30,760447.7805623162
1222,Anacostia,DC,Washington,2021-11-30,417842.4743497391
1298,Columbia Heights,DC,Washington,2021-12-31,655162.5551
1299,Capitol Hill,DC,Washington,2021-12-31,936085.4747677904
1300,Petworth,DC,Washington,2021-12-31,700254.9759964029
1301,Adams Morgan,DC,Washington,2021-12-31,589877.9632870416
1309,Shaw,DC,Washington,2021-12-31,831988.0407083919
1320,Navy Yard,DC,Washington,2021-12-31,769212.7146
1340,Anacostia,DC,Washington,2021-12-31,414725.64599963906
1416,Columbia Heights,DC,Washington,2022-01-31,657660.7312129677
1417,Capitol Hill,DC,Washington,2022-01-31,936344.4159035076
1418,Petworth,DC,Washington,2022-01-31,701461.1446440886
1419,Adams Morgan,DC,Washington,2022-01-31,591171.5879037738
1427,Shaw,DC,Washington,2022-01-31,833195.2634850895
1438,Navy Yard,DC,Washington,2022-01-31,767154.2047085529
1458,Anacostia,DC,Washington,2022-01-31,413201.46034185094
1534,Columbia Heights,DC,Washington,2022-02-28,662825.4193162228
1535,Capitol Hill,DC,Washington,2022-02-28,940673.7448471208
1536,Petworth,DC,Washington,2022-02-28,709269.9363640212
1537,Adams Morgan,DC,Washington,2022-02-28,591581.8600586829
1545,Shaw,DC,Washington,2022-02-28,832964.2162773712
1556,Navy Yard,DC,Washington,2022-02-28,754591.6488143426
1564,NoMa,DC,Washington,2022-02-28,567803.9746695575
1576,Anacostia,DC,Washington,2022-02-28,414803.6976249214
1652,Columbia Heights,DC,Washington,2022-03-31,671008.1813480634
1653,Capitol Hill,DC,Washington,2022-03-31,951808.5608979288
1654,Petworth,DC,Washington,2022-03-31,723312.3991
1655,Adams Morgan,DC,Washington,2022-03-31,592566.3725
1663,Shaw,DC,Washington,2022-03-31,836621.9623
1674,Navy Yard,DC,Washington,2022-03-31,742852.1648043673
1682,NoMa,DC,Washington,2022-03-31,567664.2964
1694,Anacostia,DC,Washington,2022-03-31,420623.2358835258
1770,Columbia Heights,DC,Washington,2022-04-30,678148.9912988468
1771,Capitol Hill,DC,Washington,2022-04-30,964085.6649291688
1772,Petworth,DC,Washington,2022-04-30,736176.6924
1773,Adams Morgan,DC,Washington,2022-04-30,594152.6169949755
1781,Shaw,DC,Washington,2022-04-30,841022.3903539217
1792,Navy Yard,DC,Washington,2022-04-30,736863.7736496074
1800,NoMa,DC,Washington,2022-04-30,565743.6036954236
1812,Anacostia,DC,Washington,2022-04-30,426466.2317118418
1888,Columbia Heights,DC,Washington,2022-05-31,681453.8246233274
1889,Capitol Hill,DC,Washington,2022-05-31,972182.2407516614
1890,Petworth,DC,Washington,2022-05-31,743720.1422352213
1891,Adams Morgan,DC,Washington,2022-05-31,594686.5807718518
1899,Shaw,DC,Washington,2022-05-31,843551.8313839114
1910,Navy Yard,DC,Washington,2022-05-31,732541.5293960137
1918,NoMa,DC,Washington,2022-05-31,563988.8393047077
1930,Anacostia,DC,Washington,2022-05-31,430008.2293756895
